Stock Final Price,Stock Total Value,Money,Assets,Savings,Number of Stocks, Minimum Performance, Maximum Performance,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
 , , , , , , , ,1032.44,1000.99,1265.57,1227.96,1150.17,1043.09,994.616,968.004,1189.07,1100.13
 , , , , , , , ,1003.54,1000.98,1273.19,1244.36,1146.26,1041.01,975.396,954.789,1179.18,1110.94
 , , , , , , , ,1005.68,1007.23,1280.87,1249.04,1139.72,1046.42,975.432,935.993,1174.36,1108.6
 , , , , , , , ,1010.11,1003.7,1260.28,1236.99,1149.27,1054.05,975.808,931.441,1190.24,1099.15
 , , , , , , , ,1003.52,1001.82,1253.17,1247.81,1155.81,1084.9,982.549,932.313,1203.02,1097.97
 , , , , , , , ,1005.34,1004.58,1239.33,1248.61,1164.7,1085.98,989.005,943.021,1205.79,1086.66
 , , , , , , , ,1020.07,991.088,1230.92,1234.63,1174.71,1083.08,992.127,962.644,1212.54,1085.55
 , , , , , , , ,1020.9,966.568,1219.82,1226.99,1185.49,1072.62,978.361,952.542,1222.53,1095.19
 , , , , , , , ,1013.68,953.104,1235.46,1230.72,1199.1,1062.04,991.746,957.847,1223.44,1096.32
 , , , , , , , ,998.501,956.936,1239.67,1230.84,1190.6,1058.1,1002.22,965.45,1230.29,1100.76
 , , , , , , , ,995.74,968.731,1240.01,1234.32,1194.44,1061.83,1015.39,967.401,1222.9,1100.83
 , , , , , , , ,996.983,968.615,1229.9,1235.83,1188.16,1066.93,1018.79,991.859,1231.93,1100.79
 , , , , , , , ,1008.3,963.357,1242.09,1235.32,1180.65,1074.36,1021.88,983.277,1215.99,1105.32
 , , , , , , , ,1006.13,974.43,1237.61,1255.01,1197.6,1066.33,1011.65,976.376,1222.5,1105.61
 , , , , , , , ,1008.45,978.513,1239.63,1236.83,1204.51,1063.31,1016.61,953.976,1218.57,1097.57
 , , , , , , , ,1003.49,995.542,1248.23,1244.59,1203.54,1050.01,1014.12,961.495,1235.22,1111.55
 , , , , , , , ,1015.79,1006.68,1244.17,1253.43,1190.58,1054.23,1015.8,933.678,1218.51,1121.48
 , , , , , , , ,1022.9,1011.78,1247.75,1240.94,1193.29,1059.03,1005.32,945.152,1218.99,1130.77
